id,museum,title,era,material,size,description,detail_url,image,download_link,translation_status
1,柏林州立博物馆,与dabulin作战（战斗图片）,1789-Qing-Dynastie-Qianlong-Periode,红色，棕色黄色，橄榄色和蓝色雕刻，木材和镀金的青铜与象牙和石头,高度x宽度：72 x 108厘米,[SM8HF],https://id.smb.museum/object/1908454/kampfe-bei-dabulin-schlachtenbild,https://recherche.smb.museum/images/5702994_300x300.jpg,https://recherche.smb.museum/images/5702994_300x300.jpg,1.0
8,柏林州立博物馆,Couplet,Qing-Dynastie- 18./19。世纪,对联，墨水在纸上带有金色底漆,彩绘图像区域：347.4 x 50.7厘米每卷,[SM8HF],https://id.smb.museum/object/2260424/couplet,https://recherche.smb.museum/images/5188907_300x300.jpg,https://recherche.smb.museum/images/5188907_300x300.jpg,1.0
9,柏林州立博物馆,欧洲金属版中的中国瓷碗,1580年左右（版本），瓷器：明朝，Wan Li-era：1563-1620,外壳：玻璃绘画下的瓷器，版本：银，部分铸造，驱动，镀金，刻有雕刻,身高：7.8厘米,"库存书中的条目：“瓷器，半球形，环脚，在釉下涂有钴蓝色。

外壳来自博士的收藏。维也纳的阿尔伯特·菲格多（Albert Figdor）。

16世纪为水罐和壳牌制造的珍贵金属框架证明了对稀有中国瓷器的高度欣赏。

clka",https://id.smb.museum/object/2305156/chinesische-porzellanschale-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394160_300x300.jpg,https://recherche.smb.museum/images/5394160_300x300.jpg,1.0
10,柏林州立博物馆,Päonie装饰,Jin-Dynastie-12. Jh.,cizhou-ware，粘土带有白色engobe，sgraffito装饰,高度x宽度x深度：13.7 x 27.9 x 28.5厘米,[SM8HF],https://id.smb.museum/object/1910532/schale-mit-paoniendekor,https://recherche.smb.museum/images/4617587_300x300.jpg,https://recherche.smb.museum/images/4617587_300x300.jpg,1.0
11,柏林州立博物馆,Teeschale,南歌Dynastie-12./13。世纪,砂粘土和浅棕色釉,高度x直径：4.4 x 14.7厘米,[SM8HF],https://id.smb.museum/object/1910345/teeschale,https://recherche.smb.museum/images/4617546_300x300.jpg,https://recherche.smb.museum/images/4617546_300x300.jpg,1.0
12,柏林州立博物馆,带有景观装饰的头枕,Song Dynasty，13世纪Jin-Dynastie或宋,釉面stone用棕色绘画，cizhou goods,高度x宽度x深度：13 x 27 x 24厘米,景观绘画流派的代表，放置在宽松的卷曲框架中，装饰着该头枕的倾斜顶部。在左边的一群树上，一个人站在一个岬角上，看着另一侧的瀑布，他从陡峭的悬垂岩石上掉下来。头枕的高墙以宽敞，自发的绘画风格显示了风格化的卷须图案。这幅画位于白色engobe上方，以实现装饰的强烈对比。不仅在Cizhou，当今Hebei省的CI区，以其稳健的形状和装饰的新鲜感和即时性而闻名的日常商品，而且生产设施在整个中国北部地区都广泛。借助大气景观的描绘，柏林收藏中的头枕是最美丽的绘画例子之一，在当今建立的金朝特别受欢迎。能够在夏季（618-906）的夏季，能够将脖子作为冷却休息场所的陶瓷头枕很受欢迎，并在歌曲和元朝（10至14世纪）中算作。除了受欢迎的Cizhou商品的头枕外，精致的正式作品和装饰的精致，还被询问。,https://id.smb.museum/object/975447/kopfstutze-mit-landschaftsdekor,https://recherche.smb.museum/images/1214952_300x300.jpg,https://recherche.smb.museum/images/1214952_300x300.jpg,1.0
13,柏林州立博物馆,"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",17. Jh.,铁，金色的残余物,对象维度：61 x 59.5 x 62.5厘米,＆nbsp;在玛哈亚纳·博德（Mahayana-Buddhism）中，历史人物也被视为一种启发性的重生，所谓的菩萨。Budai Heshang（大麻袋僧侣，大约9世纪）被认为是未来佛陀的体现。仍然是东亚最受欢迎的佛教救赎形状之一。他的肚子浓密，笑着，穿着字母的衣服，他被呈现为流浪者，一直活到对学习神圣著作不感兴趣的那一天。通过这样做，他质疑了学生和尚的苦行者理想，并表明没有严格的规则可以从出生周期中获得的启蒙和解放。,https://id.smb.museum/object/608873/monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A-dickbauchmaitreya-da-duzi-milefo-%E5%A4%A7%E8%82%9A%E5%AD%90%E5%BD%8C%E5%8B%92%E4%BD%9B-monch,https://recherche.smb.museum/images/2357833_300x300.jpg,https://recherche.smb.museum/images/2357833_300x300.jpg,1.0
14,柏林州立博物馆,"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",sp. Yuan-Dynastie (Yüan)/f. Ming-Zeit,"Porzellan, Qingbai-Glasur",对象维度：46.5 x 31 x 21厘米,Bodhisattva Avalokiteshvara体现了佛陀的无私善良。他的脸上淡淡的微笑。他的腿的洛尔位置是指冥想的实践。白釉可能具有仪式功能。蒙古时期（1279–1368）的仪式手册描述，从业者应该将自己想象为同一月亮，以便与avalokite -vara识别自己，以便赎回死者的地狱倒塌。,https://id.smb.museum/object/1025129/guanyin-bodhisattva--der-barmherzigkeit-chin--guanyin-pusa-%E8%A7%80%E9%9F%B3%E8%8F%A9%E8%96%A9,https://recherche.smb.museum/images/2337928_300x300.jpg,https://recherche.smb.museum/images/2337928_300x300.jpg,1.0
17,柏林州立博物馆,Medaillon-Tapete à la chinoise,18世纪后期,水粉，手工纸,"Blattmaß: 9 Bahnen à 270,0 x 83,0 cm","墙壁衣服的历史通过中国纸壁纸的进口经历了真正的异国资产。在18世纪下半叶，中国壁纸享有很大的知名度，并已成为令人垂涎的豪华文章。墙上填充的象征性场景或开花树在广州的纸上绘制，以出口到欧洲，以水粉技术出口。一个所谓的“ Printroom”或“ sheoise wallpapers”是一种新的壁纸时尚。铜版已直接粘在墙壁上或地下纸上，并构造了框架，或放置在带有边界，花环，花朵等的装饰系统中。这样，将其转移到Chinatapeten。将椭圆形或矩形图像粘在彩色墙纸底部的中国绘画上，并用精致的花朵和叶子框起来。当这些最初在英格兰生产的壁纸已成为欧洲各地令人垂涎的时尚物品时，也可以将它们订购为1780年代最早的遥远的滚筒装备。

艺术博物馆的奖章墙纸与墙纸有着极大的相似之处，墙纸今天在弗莱瓦尔德城堡（Freiwalde Castle）建于1798/99年。两者都显示封闭的图像字段，并伴有顶部和下方的椭圆形奖章。这些绘画描述了日常场景，例如旅行收获，绘画瓷器，出售面料或乘船旅行。这些图片是由绿松石蓝色背景上的精致的花卷须构成的。一项精美的竹晶格工作根据当时流行的格子划分了墙壁。

墙纸的晚期日期和边界的绘画风格以及特殊疏远的特雷利斯格栅表明在18世纪末在中国创造了日期。",https://id.smb.museum/object/1627324/medaillon-tapete-a-la-chinoise,https://recherche.smb.museum/images/3418738_300x300.jpg,https://recherche.smb.museum/images/3418738_300x300.jpg,1.0
20,柏林州立博物馆,欧洲金属版本中国水罐,1570年左右（版本），瓷器：明朝，Wan Li-era：1563-1620,Kanne：带有底漆绘画的瓷器，版本：银，部分铸造，驱动，镀金,身高：20厘米,"库存簿中的入口：“瓷器瓷砖镀金的银色框架。水罐，瓷器，蓝色涂漆。厚实的身体分为六个田地，其中大叶植物；在颈部底座上；在短星上； - 颈部本身。

水罐是1889年由Großenhain的布料制造商和艺术品收藏家Richard Zschille购买的。

精致的金属版本归因于Erfurt Goldsmith Georg Berger（创意时期1560至1577年），证明了对稀有中国瓷器的高度欣赏。

clka",https://id.smb.museum/object/2305157/chinesische-kanne-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394159_300x300.jpg,https://recherche.smb.museum/images/5394159_300x300.jpg,1.0
21,柏林州立博物馆,坐着卢汉,Ming-Dynastie-16. Jh.,浅灰色粘土和彩色釉,高度x宽度x深度：95 x 68.5 x 50.5厘米（无木基）,[SM8HF],https://id.smb.museum/object/986879/sitzender-luohan,https://recherche.smb.museum/images/4524363_300x300.jpg,https://recherche.smb.museum/images/4524363_300x300.jpg,1.0
